
Codes	Titles	Total Marketable US Businesses
3346	Manufacturing and Reproducing Magnetic and Optical Media	2,221
334613	Blank Magnetic and Optical Recording Media Manufacturing	465
334614	Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing	1,756
3351	Electric Lighting Equipment Manufacturing	3,960
335110	Electric Lamp Bulb and Part Manufacturing	405
335121	Residential Electric Lighting Fixture Manufacturing	630
335122	Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing	975
335129	Other Lighting Equipment Manufacturing	1,950
3352	Household Appliance Manufacturing	1,644
335210	Small Electrical Appliance Manufacturing	810
335220	Major Household Appliance Manufacturing	834
3353	Electrical Equipment Manufacturing	5,061
335311	Power, Distribution, and Specialty Transformer Manufacturing	800
335312	Motor and Generator Manufacturing	1,532
335313	Switchgear and Switchboard Apparatus Manufacturing	881
335314	Relay and Industrial Control Manufacturing	1,848
3359	Other Electrical Equipment and Component Manufacturing	6,828
335911	Storage Battery Manufacturing	559
335912	Primary Battery Manufacturing	103
335921	Fiber Optic Cable Manufacturing	185
335929	Other Communication and Energy Wire Manufacturing	156
335931	Current-Carrying Wiring Device Manufacturing	800
335932	Noncurrent-Carrying Wiring Device Manufacturing	612
335991	Carbon and Graphite Product Manufacturing	277
335999	All Other Miscellaneous Electrical Equipment and Component Manufacturing	4,136
3361	Motor Vehicle Manufacturing	1,714
336111	Automobile Manufacturing	1,190
336112	Light Truck and Utility Vehicle Manufacturing	79
336120	Heavy Duty Truck Manufacturing	445
3362	Motor Vehicle Body and Trailer Manufacturing	2,914
336211	Motor Vehicle Body Manufacturing	976
336212	Truck Trailer Manufacturing	1,073
336213	Motor Home Manufacturing	98
336214	Travel Trailer and Camper Manufacturing	767
3363	Motor Vehicle Parts Manufacturing	8,688
336310	Motor Vehicle Gasoline Engine and Engine Parts Manufacturing	688
336320	Motor Vehicle Electrical and Electronic Equipment Manufacturing	1,191
336330	Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing	156
336340	Motor Vehicle Brake System Manufacturing	186
336350	Motor Vehicle Transmission and Power Train Parts Manufacturing	456
336360	Motor Vehicle Seating and Interior Trim Manufacturing	435
336370	Motor Vehicle Metal Stamping	743
336390	Other Motor Vehicle Parts Manufacturing	4,833
3364	Aerospace Product and Parts Manufacturing	7,082
336411	Aircraft Manufacturing	2,554
336412	Aircraft Engine and Engine Parts Manufacturing	1,248
336413	Other Aircraft Parts and Auxiliary Equipment Manufacturing	2,842
336414	Guided Missile and Space Vehicle Manufacturing	195
336415	Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing	156
336419	Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing	87
3365	Railroad Rolling Stock Manufacturing	615
336510	Railroad Rolling Stock Manufacturing	615
3366	Ship and Boat Building	3,747
336611	Ship Building and Repairing	1,076
336612	Boat Building	2,671
3369	Other Transportation Equipment Manufacturing	2,318
336991	Motorcycle, Bicycle, and Parts Manufacturing	1,214
336992	Military Armored Vehicle, Tank, and Tank Component Manufacturing	226
